성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,18.0,163.0,56.0,3.0,1.0,4.0,5.0,4.0,2.0,1.0,180.0,120.0
2.0,17.0,171.0,80.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,300.0,300.0
2.0,17.0,164.9,66.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,180.0,240.0
2.0,17.0,161.0,53.0,2.0,3.0,4.0,1.0,5.0,2.0,1.0,360.0,180.0
2.0,16.0,165.0,55.0,4.0,3.0,4.0,1.0,5.0,2.0,1.0,180.0,120.0
2.0,15.0,163.0,54.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,60.0,120.0
2.0,15.0,170.0,48.7,5.0,3.0,1.0,2.0,5.0,1.0,1.0,120.0,120.0
2.0,16.0,155.0,45.5,3.0,3.0,4.0,1.0,5.0,1.0,1.0,180.0,240.0
2.0,15.0,164.0,51.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,60.0,90.0
2.0,16.0,158.9,48.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,150.0
2.0,16.0,167.0,62.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,60.0,150.0
2.0,15.0,166.0,62.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0
1.0,16.0,175.3,68.2,4.0,2.0,1.0,1.0,4.0,1.0,1.0,60.0,180.0
1.0,15.0,175.0,67.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,120.0,180.0
1.0,15.0,169.0,55.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,100.0,130.0
1.0,15.0,180.5,66.0,4.0,4.0,2.0,4.0,5.0,2.0,1.0,60.0,180.0
2.0,16.0,161.2,70.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,10.0,70.0
2.0,15.0,163.0,51.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,120.0,120.0
2.0,15.0,163.0,67.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,0.0,140.0
2.0,16.0,160.0,43.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,120.0,180.0
2.0,15.0,173.0,66.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,210.0,300.0
2.0,16.0,165.0,60.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,180.0,360.0
2.0,15.0,160.0,50.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,240.0,240.0
2.0,15.0,155.0,47.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,60.0,120.0
2.0,15.0,157.0,58.0,3.0,2.0,4.0,3.0,5.0,2.0,1.0,0.0,0.0
2.0,15.0,156.0,51.5,5.0,2.0,4.0,1.0,5.0,1.0,1.0,180.0,300.0
2.0,16.0,162.9,51.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,30.0,40.0
2.0,15.0,166.9,61.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0
2.0,15.0,165.2,64.1,3.0,2.0,3.0,1.0,3.0,1.0,1.0,160.0,210.0
2.0,15.0,169.0,75.0,4.0,3.0,3.0,1.0,5.0,1.0,1.0,130.0,170.0
2.0,16.0,164.0,48.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,180.0,300.0
2.0,16.0,168.3,61.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,90.0,210.0
2.0,16.0,158.0,52.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,60.0,120.0
2.0,16.0,163.2,61.4,4.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,40.0
2.0,16.0,165.8,50.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,120.0,180.0
2.0,15.0,165.0,60.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,20.0,0.0
2.0,15.0,157.0,50.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,30.0,30.0
2.0,16.0,166.0,51.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,60.0,60.0
2.0,16.0,159.0,50.3,3.0,2.0,2.0,5.0,5.0,1.0,1.0,180.0,120.0
2.0,15.0,160.0,48.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,190.0,210.0
2.0,15.0,163.4,56.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0
2.0,16.0,157.0,50.0,4.0,2.0,1.0,2.0,5.0,1.0,1.0,180.0,240.0
2.0,15.0,157.0,56.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,40.0,60.0
2.0,17.0,169.0,81.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0
2.0,16.0,169.0,80.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,60.0,60.0
2.0,16.0,168.0,78.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0
2.0,16.0,156.7,49.5,4.0,4.0,2.0,1.0,5.0,2.0,2.0,60.0,90.0
2.0,16.0,163.0,48.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
2.0,16.0,163.0,49.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,120.0,180.0
2.0,17.0,156.0,44.0,3.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0
2.0,17.0,159.0,60.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,180.0,240.0
2.0,17.0,168.0,52.0,4.0,2.0,3.0,3.0,5.0,2.0,1.0,300.0,300.0
2.0,16.0,153.5,52.0,4.0,5.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0
1.0,16.0,165.0,66.0,5.0,4.0,2.0,1.0,5.0,1.0,1.0,10.0,0.0
2.0,17.0,166.0,70.0,3.0,3.0,1.0,6.0,3.0,2.0,1.0,220.0,310.0
2.0,17.0,156.0,40.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,60.0,60.0
2.0,17.0,162.0,48.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,180.0,300.0
2.0,17.0,149.6,47.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0
2.0,16.0,165.0,46.5,4.0,3.0,2.0,1.0,2.0,1.0,1.0,10.0,10.0
2.0,17.0,150.9,48.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0
1.0,18.0,165.0,54.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0
1.0,17.0,170.0,69.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,300.0,480.0
1.0,17.0,168.0,59.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,150.0,0.0
2.0,17.0,154.2,44.8,2.0,3.0,2.0,1.0,4.0,2.0,1.0,120.0,300.0
2.0,18.0,170.0,70.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,540.0,300.0
2.0,17.0,158.0,46.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,180.0,240.0
2.0,17.0,162.0,50.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,180.0,180.0
2.0,17.0,163.0,49.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0
2.0,17.0,165.0,60.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,70.0,70.0
1.0,17.0,167.0,58.0,5.0,3.0,4.0,5.0,4.0,1.0,1.0,0.0,0.0
1.0,17.0,186.0,87.0,5.0,3.0,3.0,2.0,4.0,2.0,1.0,130.0,130.0
1.0,16.0,185.9,75.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,540.0,540.0
1.0,16.0,167.0,92.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,60.0,60.0
2.0,17.0,163.0,56.2,2.0,3.0,1.0,1.0,5.0,1.0,1.0,300.0,300.0
2.0,16.0,163.0,80.0,3.0,3.0,2.0,6.0,4.0,1.0,1.0,120.0,300.0
2.0,16.0,158.0,70.0,4.0,2.0,3.0,7.0,4.0,1.0,1.0,300.0,360.0
2.0,16.0,161.0,60.0,3.0,2.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0
2.0,16.0,168.0,55.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,30.0,70.0
2.0,18.0,160.0,66.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,180.0,180.0
2.0,16.0,163.0,57.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,380.0,380.0
2.0,16.0,156.0,55.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,300.0,180.0
2.0,18.0,170.0,54.0,1.0,1.0,5.0,8.0,3.0,2.0,1.0,0.0,0.0
2.0,18.0,158.0,49.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,60.0,60.0
2.0,18.0,165.0,49.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,120.0,120.0
2.0,17.0,161.0,48.0,5.0,3.0,2.0,6.0,3.0,2.0,1.0,0.0,0.0
2.0,17.0,164.0,45.0,2.0,2.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0
2.0,18.0,161.0,50.0,3.0,4.0,2.0,8.0,4.0,2.0,1.0,0.0,0.0
2.0,17.0,161.0,50.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0
1.0,18.0,172.0,63.0,1.0,2.0,2.0,8.0,4.0,2.0,1.0,60.0,60.0
2.0,18.0,167.0,53.5,2.0,2.0,3.0,8.0,3.0,2.0,2.0,210.0,480.0
2.0,17.0,166.0,54.0,5.0,3.0,2.0,2.0,5.0,2.0,1.0,0.0,0.0
2.0,18.0,160.0,43.0,2.0,2.0,4.0,8.0,1.0,1.0,1.0,0.0,0.0
2.0,17.0,163.0,43.0,2.0,2.0,2.0,8.0,2.0,2.0,1.0,120.0,120.0
2.0,18.0,161.5,48.0,4.0,3.0,1.0,8.0,2.0,1.0,1.0,240.0,300.0
2.0,17.0,167.5,49.0,2.0,4.0,1.0,8.0,5.0,1.0,1.0,0.0,0.0
2.0,17.0,165.0,50.0,4.0,3.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0
2.0,18.0,169.5,52.0,4.0,2.0,2.0,8.0,5.0,1.0,1.0,0.0,0.0
2.0,18.0,162.0,51.0,4.0,4.0,2.0,8.0,2.0,1.0,1.0,120.0,120.0
2.0,17.0,172.8,54.0,2.0,2.0,1.0,8.0,4.0,1.0,1.0,120.0,330.0
2.0,18.0,165.0,51.0,3.0,3.0,3.0,8.0,5.0,2.0,2.0,0.0,0.0
1.0,17.0,160.0,42.0,1.0,1.0,3.0,8.0,1.0,2.0,1.0,480.0,490.0
2.0,17.0,170.0,53.0,2.0,3.0,2.0,8.0,2.0,1.0,1.0,180.0,180.0
2.0,17.0,167.0,45.5,5.0,3.0,2.0,8.0,3.0,1.0,1.0,40.0,50.0
2.0,18.0,165.0,47.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,120.0,180.0
2.0,17.0,172.0,45.8,2.0,2.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0
2.0,18.0,168.7,55.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,17.0,158.0,46.0,1.0,2.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0
2.0,17.0,170.0,50.0,4.0,2.0,2.0,8.0,3.0,1.0,1.0,60.0,0.0
2.0,17.0,160.0,45.0,2.0,2.0,2.0,8.0,3.0,1.0,1.0,120.0,180.0
2.0,17.0,161.2,47.1,3.0,2.0,3.0,8.0,4.0,2.0,2.0,0.0,0.0
2.0,18.0,160.7,48.0,3.0,4.0,4.0,8.0,4.0,2.0,1.0,300.0,360.0
2.0,17.0,163.0,43.0,1.0,3.0,2.0,8.0,4.0,1.0,1.0,60.0,60.0
2.0,18.0,160.0,40.5,2.0,3.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0
2.0,18.0,164.0,43.0,2.0,1.0,2.0,8.0,3.0,1.0,1.0,0.0,0.0
2.0,17.0,170.0,53.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,120.0,180.0
1.0,16.0,171.0,62.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,600.0,600.0
1.0,15.0,183.6,90.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,240.0,120.0
2.0,15.0,162.3,53.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,60.0,60.0
2.0,16.0,164.7,59.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,180.0,300.0
2.0,15.0,170.0,58.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,20.0,20.0
1.0,16.0,175.3,65.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,120.0,60.0
2.0,16.0,158.0,62.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,120.0,360.0
2.0,16.0,162.0,52.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,120.0,120.0
2.0,15.0,160.0,68.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,90.0,180.0
1.0,15.0,173.0,75.0,3.0,2.0,1.0,7.0,4.0,1.0,1.0,120.0,120.0
1.0,16.0,176.0,75.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,180.0,240.0
1.0,16.0,190.0,87.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,60.0,120.0
2.0,16.0,155.0,45.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,60.0,0.0
2.0,16.0,163.6,75.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,120.0,200.0
2.0,16.0,165.3,50.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,120.0,240.0
2.0,16.0,166.0,60.0,4.0,3.0,4.0,1.0,5.0,2.0,1.0,180.0,300.0
1.0,15.0,163.4,69.8,2.0,3.0,1.0,4.0,4.0,2.0,2.0,600.0,600.0
1.0,15.0,168.0,55.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0
1.0,18.0,186.0,67.0,4.0,1.0,1.0,8.0,5.0,2.0,2.0,0.0,0.0
1.0,15.0,181.6,93.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,170.0,280.0
2.0,15.0,169.0,59.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,30.0,30.0
2.0,17.0,158.0,69.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,120.0,240.0
2.0,17.0,158.0,48.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,180.0,240.0
2.0,16.0,164.0,56.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,360.0,120.0
2.0,17.0,153.0,46.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,30.0,10.0
2.0,16.0,162.0,48.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,90.0,180.0
2.0,16.0,158.0,50.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,60.0,120.0
1.0,16.0,174.5,64.7,2.0,3.0,1.0,5.0,5.0,1.0,1.0,60.0,120.0
2.0,17.0,173.0,59.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,120.0,180.0
2.0,16.0,159.0,55.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,120.0,240.0
2.0,17.0,156.6,56.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,60.0,120.0
1.0,17.0,175.0,75.0,5.0,3.0,1.0,8.0,3.0,2.0,2.0,180.0,300.0
2.0,16.0,160.0,55.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,80.0,70.0
2.0,17.0,166.0,54.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,120.0
2.0,16.0,162.7,51.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,180.0,180.0
2.0,17.0,168.0,78.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,16.0,162.7,50.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,120.0,180.0
2.0,16.0,162.3,70.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,240.0,360.0
1.0,17.0,180.0,73.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,220.0,170.0
1.0,16.0,171.0,67.0,3.0,3.0,1.0,8.0,3.0,2.0,1.0,120.0,240.0
2.0,17.0,156.0,55.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,120.0,180.0
2.0,17.0,150.9,53.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,120.0,150.0
2.0,18.0,158.0,55.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,120.0,180.0
2.0,17.0,160.0,47.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,120.0,140.0
2.0,18.0,164.2,59.1,4.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0
2.0,18.0,160.0,58.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,120.0,120.0
1.0,18.0,173.5,79.5,1.0,2.0,2.0,5.0,3.0,2.0,2.0,0.0,0.0
2.0,18.0,162.0,41.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,180.0,240.0
1.0,18.0,175.0,58.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,60.0,60.0
1.0,18.0,179.0,85.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0
1.0,18.0,177.0,58.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0
2.0,17.0,161.0,50.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,60.0,60.0
2.0,17.0,159.8,58.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,180.0,300.0
2.0,17.0,162.0,65.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,120.0,180.0
2.0,17.0,166.6,60.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,180.0,180.0
2.0,18.0,160.0,50.0,2.0,2.0,4.0,2.0,5.0,1.0,1.0,180.0,180.0
1.0,18.0,161.0,70.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0
1.0,17.0,174.0,82.0,3.0,2.0,3.0,1.0,5.0,2.0,2.0,150.0,150.0
1.0,18.0,177.8,80.8,1.0,2.0,2.0,7.0,3.0,2.0,2.0,240.0,420.0
2.0,17.0,168.0,59.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,300.0,300.0
2.0,16.0,168.0,58.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,120.0,60.0
2.0,16.0,161.0,46.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,120.0,130.0
2.0,16.0,167.0,55.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,60.0,120.0
2.0,15.0,158.7,48.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,180.0,240.0
2.0,15.0,163.0,50.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,40.0,180.0
2.0,15.0,165.0,56.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,10.0,20.0
2.0,16.0,158.2,50.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,180.0,240.0
2.0,16.0,169.0,62.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,120.0,120.0
2.0,16.0,167.0,52.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0
2.0,15.0,164.7,50.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,60.0,120.0
2.0,15.0,166.8,48.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,60.0,120.0
2.0,16.0,166.6,59.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,120.0,480.0
2.0,15.0,163.0,58.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,120.0,180.0
2.0,16.0,155.7,48.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,120.0,180.0
2.0,15.0,164.7,72.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,120.0,600.0
2.0,15.0,155.3,55.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,60.0
2.0,16.0,169.9,58.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,60.0,180.0
2.0,16.0,163.0,55.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,60.0,90.0
2.0,16.0,155.5,48.0,4.0,3.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0
2.0,15.0,160.0,52.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,90.0,240.0
2.0,15.0,164.0,50.0,4.0,4.0,3.0,1.0,5.0,1.0,1.0,60.0,300.0
2.0,16.0,167.8,63.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,180.0,300.0
2.0,15.0,175.0,70.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,240.0,600.0
2.0,17.0,157.2,48.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0
2.0,16.0,159.0,63.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,120.0
2.0,17.0,150.0,50.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,60.0,0.0
2.0,16.0,163.1,44.8,3.0,3.0,2.0,1.0,3.0,1.0,1.0,150.0,240.0
2.0,17.0,159.1,59.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,30.0,60.0
2.0,16.0,158.7,62.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,120.0,120.0
2.0,16.0,167.5,67.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,60.0,180.0
2.0,17.0,159.0,57.0,3.0,2.0,3.0,5.0,4.0,2.0,1.0,60.0,120.0
2.0,17.0,161.0,61.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,180.0,420.0
2.0,17.0,158.5,61.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,120.0,240.0
2.0,16.0,164.0,59.0,4.0,4.0,2.0,7.0,4.0,2.0,1.0,120.0,480.0
2.0,16.0,171.8,65.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0
2.0,16.0,168.0,53.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,90.0,120.0
2.0,16.0,165.0,47.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,60.0,180.0
2.0,16.0,172.4,63.0,5.0,5.0,1.0,4.0,4.0,2.0,1.0,30.0,140.0
2.0,16.0,158.0,61.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,60.0,120.0
2.0,16.0,157.0,70.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,120.0,180.0
2.0,17.0,160.0,50.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,0.0,60.0
2.0,16.0,158.0,58.0,5.0,2.0,4.0,3.0,5.0,2.0,1.0,180.0,300.0
2.0,17.0,160.0,60.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,30.0,60.0
2.0,17.0,163.5,68.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,180.0,240.0
2.0,17.0,170.0,54.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,60.0,60.0
2.0,16.0,159.0,55.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,180.0,240.0
2.0,17.0,161.5,47.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,120.0,180.0
2.0,17.0,166.0,50.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,30.0,60.0
2.0,17.0,161.0,65.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,60.0,240.0
2.0,17.0,153.2,67.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,120.0,300.0
2.0,18.0,162.0,69.7,1.0,2.0,2.0,1.0,3.0,1.0,1.0,10.0,10.0
2.0,17.0,155.0,47.0,5.0,5.0,3.0,5.0,5.0,2.0,1.0,60.0,120.0
2.0,18.0,162.0,49.0,3.0,3.0,3.0,2.0,5.0,2.0,1.0,240.0,120.0
2.0,17.0,159.2,42.3,1.0,2.0,1.0,1.0,3.0,2.0,1.0,60.0,60.0
2.0,17.0,157.0,50.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0
2.0,18.0,156.8,47.5,3.0,2.0,1.0,2.0,5.0,1.0,1.0,30.0,60.0
2.0,17.0,162.0,51.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,60.0,120.0
2.0,18.0,161.0,47.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,60.0,120.0
2.0,18.0,154.8,53.6,1.0,2.0,4.0,1.0,4.0,1.0,1.0,180.0,300.0
2.0,17.0,157.6,49.3,1.0,2.0,4.0,1.0,4.0,1.0,1.0,120.0,180.0
2.0,18.0,161.0,45.0,4.0,3.0,2.0,5.0,3.0,2.0,1.0,300.0,480.0
2.0,17.0,164.1,66.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,60.0,60.0
2.0,17.0,160.0,63.4,4.0,3.0,2.0,3.0,4.0,1.0,1.0,180.0,240.0
2.0,17.0,158.0,68.0,2.0,3.0,3.0,1.0,5.0,1.0,1.0,60.0,180.0
2.0,18.0,157.0,52.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,120.0,360.0
2.0,17.0,161.0,64.0,2.0,4.0,3.0,3.0,5.0,2.0,1.0,150.0,350.0
2.0,18.0,168.0,72.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,60.0,240.0
2.0,17.0,164.0,46.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,120.0,180.0
1.0,16.0,180.4,65.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,600.0,180.0
1.0,16.0,173.9,85.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0
1.0,16.0,168.0,52.0,4.0,4.0,3.0,5.0,5.0,1.0,1.0,60.0,60.0
1.0,17.0,179.0,80.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,120.0,120.0
1.0,15.0,183.0,102.0,2.0,4.0,4.0,6.0,1.0,2.0,2.0,120.0,180.0
1.0,15.0,165.0,60.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,120.0,240.0
1.0,16.0,174.3,55.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,300.0,480.0
1.0,16.0,173.0,59.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,120.0,300.0
1.0,16.0,174.0,60.0,4.0,3.0,2.0,6.0,4.0,2.0,2.0,180.0,330.0
1.0,16.0,173.0,50.1,4.0,3.0,4.0,1.0,5.0,2.0,2.0,60.0,120.0
1.0,16.0,161.0,54.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,70.0,0.0
1.0,15.0,177.6,68.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,240.0,600.0
1.0,15.0,175.0,68.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,120.0,360.0
1.0,16.0,174.9,71.0,4.0,3.0,1.0,8.0,1.0,2.0,1.0,300.0,300.0
1.0,15.0,177.0,80.7,4.0,4.0,1.0,4.0,3.0,2.0,1.0,120.0,180.0
1.0,16.0,180.0,67.0,2.0,4.0,1.0,8.0,4.0,2.0,1.0,330.0,330.0
1.0,15.0,175.0,55.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,120.0,120.0
1.0,15.0,166.8,84.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,120.0,180.0
1.0,17.0,170.0,55.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,120.0,300.0
1.0,16.0,175.0,65.5,3.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0
1.0,17.0,165.0,70.0,3.0,4.0,2.0,7.0,2.0,1.0,1.0,150.0,260.0
1.0,17.0,175.0,71.0,5.0,3.0,3.0,2.0,5.0,2.0,1.0,420.0,600.0
1.0,17.0,173.0,63.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,180.0,240.0
1.0,16.0,168.0,58.0,1.0,4.0,2.0,5.0,5.0,1.0,1.0,180.0,240.0
